,Unnamed: 0.1.1,Judul,Penulis,PDF_Link,Abstrak,Topik_0,Topik_1,Topik_2,Topik_3,Topik_4,Topik_5,Topik_6,Topik_7,Topik_8,Topik_9,Topik_10,Topik_11,Topik_12,Topik_13,Topik_14,Topik_15,Topik_16,Topik_17,Topik_18,Topik_19,Topik_20,Topik_21,Topik_22,Topik_23,Topik_24,Topik_25,Topik_26,Topik_27,Topik_28,Topik_29,Topik_30,Topik_31,Topik_32,Topik_33,Topik_34
0,0,  Aktivisme dan Kesukarelawanan dalam Media Sosial Komunitas Kaum Muda Yogyakarta   ,"Ramma Wisnu Dewantara, Derajat S. Widhyharto",https://jurnal.ugm.ac.id/jsp/article/view/10855/pdf,"Aktivisme dan kesukarelawanan kaum muda dalam membentuk gerakan sosial telah mengalami pergeseran dari offline menuju online. Hal ini tidak terlepas dari perkembangan teknologi informasi terutama dengan munculnya Web 2.0 yang membuat banyak realitas sosial diperlihatkan oleh media baru tersebut. Salah satu turunan media baru ini adalah media sosial yang dianggap unggul dalam kecepatan mendistribusikan pesan. Media sosial juga menjadi “ruang publik baru”kaum muda untuk berbagi atau berdiskusi mengenai isu tertentu, bahkan sampai digunakan sebagai tuntutan revolusi. Metode yang digunakan dalam penelitian media baru ini adalah wawancara mendalam dan focus group discussion. Temuannya memperlihatkan bahwa kaum muda Yogyakarta, yang terhimpun dalam berbagai komunitas, berhasil memanfaatkan media sosial sebagai penyeimbang, pengingat, dan suplemen gerakan baru komunitas kaum muda.",0.1607235728159458,0.1634341401984751,0.2091420425966383,0.1881883716916154,0.2840319644335066,0.1989355162503792,0.1660859669332122,0.1687481723227653,0.1608375979514711,0.2046103988400173,0.14994008446425,0.1787963324543592,0.1590536872686816,0.1658157141576335,0.1656958651348086,0.1773895968884624,0.1695496312826292,0.2309779104377832,0.1628767017005824,0.2017419105050727,0.1625891928018631,0.2095180650831161,0.1597621800883598,0.1964322057950223,0.206682544097175,0.1337413089660751,0.2011178860999881,0.1901775356994598,0.2290444792641065,0.1624920660923831,0.1923129266085537,0.2236727323671627,0.1580619725119319,0.1763315258300559,0.1686562493638785
1,1,  Silent Political Apathy in Urban Society: The Case of Medan 2018 Election   ,"Derajad Sulistyo Widhyharto, Desi Rahmawati, Norin Mustika Rahadiri Abheseka",https://jurnal.ugm.ac.id/jsp/article/view/51724/pdf,"Studies on non-voting behavior and which depart from social perspectives have long been stagnated due to the dominance of analysis that puts systems, institutionalization, political mechanisms and participation as the main viewpoints of the studies. This study using social perspectives is useful to explain why voters were not present at polling stations during the Medan 2018 Election. It elaborates the social aspects that influenced non-voting behavior in the urban area of Medan in North Sumatra, Indonesia during the 2018 gubernatorial election. Utilizing mix- method strategies, instead of citing social aspects as a mere research context, this article argues that social aspects in the form of social cleavages worked behind the silent apathy, namely apathy that was implicitly indicated by voters who were not present at polling stations. Social cleavages including ethnicity, religion and gender indicated a paradox since they—with the exception of gender—were used by candidates as the main campaign substance. On the other hand, large numbers of people showed disinterest in these social cleavages during the election. This article explains why abstained voters hid their disinterest behind their excuses for not being present at the polling stations for economic (working activities) and other reasons.",0.2366439345674184,0.2278344991171703,0.2932783251990815,0.2770663065055491,0.3476566973006167,0.2777458447514785,0.2762417846393049,0.232260341961809,0.2470361357480241,0.2776874798440368,0.2457576213460421,0.2665738816703275,0.2455084318564601,0.189999197333209,0.2276018575090078,0.2555351222312469,0.1688851686448224,0.305713127526195,0.1784123889150961,0.2635256452386266,0.2465186548573397,0.2823432696504361,0.2440662360609604,0.2617353295256228,0.2155152077937852,0.5751600515372022,0.277293373354537,0.2876790694698675,0.3000488398241181,0.1410558198013799,0.2758402680742229,0.2379208551010661,0.2942163543236009,0.2513047993919576,0.1830015540893131
2,2,"  Karst: Ditambang atau Dilestarikan, Konflik Sosial Rencana Pembangunan Pabrik Semen di Kabupaten Pati Jawa Tengah   ",- Suharko,https://jurnal.ugm.ac.id/jsp/article/view/10881/8122,"The establishment of cement industry at regions with rich content of karst has increasingly grown in recent years. As a consequence, conflict of interest between cement company and local people groups has arised. The article aims to mapping out a natural resource based-conflict in district of Pati, province of Jawa Tengah. The social conflict has taken place at the stage of pra-construction of cement plant in the south Pati. The cement company, supported by local government, has continuously tried to establish the plant. The local people groups have always rejected it. Through organizing indigenous people, building social networks, and undertaking various collective actions, the local people groups have refused any efforts for establishing the plant. While this social conflict has continued, so far there is no an adequate conflict resolution. However, the new government of Central Java resulted from the 2013 election provides an opportunity to end the conflict.",0.2111072928613989,0.2091168377260631,0.2403522264063523,0.200006471131513,0.2186617782339477,0.2066615830247525,0.1753880140624209,0.2020983194671306,0.203374101435011,0.2094233570008728,0.1786592232466243,0.1844039300722685,0.1555735260831322,0.2595256562137217,0.1829444457819913,0.2160650605003316,0.2246421651582821,0.2284395557236266,0.1333472203044274,0.2275783025449947,0.1767521074193459,0.2111306140191435,0.1816219320799891,0.1960040586660628,0.1911445794097939,0.1021742564396528,0.2117750129437512,0.1806287218454054,0.2581108921325803,0.1863224141564304,0.2736566369715385,0.2744529566814211,0.2319741678036215,0.1945968666456098,0.1812626796696893
3,3,  Jalan Panjang Penyelesaian Konflik Kasus Lumpur Lapindo   ,Anis Farida,https://jurnal.ugm.ac.id/jsp/article/view/10880/8121,"This study aims to understand the map of conflict and the evolving dynamics of Lapindo mudflow case settlement. The study was conducted in two villages, namely Siring and Renokenongo, Porong subdistrict, Sidoarjo, EastJava, using a qualitative approach. Data was collected throughin-depth interviews, observation, documentation and focus group discussion. The results showed that the conflict can be divided into vertical and horizontal conflicts. In the vertical conflict, communities faced government and Lapindo Brantas. While horizontal conflicts, it showed a layer conflicts, consisting of the conflict between family members, neighbors, RT/RW, villagers, and between Lapindo mudflow victims vs nonvictims residents. Simplification of Lapindo conflict management based on there placement of material aspects, have potentially to create a new problems in the future.",0.2114155341861548,0.1747996106557376,0.2228360935024176,0.202371446054908,0.2165865243324194,0.2081173709152788,0.1913347037931757,0.2403689004935053,0.2008328659810255,0.2067902006948508,0.1869020940891524,0.1861510388584257,0.163753206975819,0.1689699746524805,0.1580102477416489,0.2144783721693381,0.214480229399424,0.2810597472932246,0.1487166236147696,0.2538715889348657,0.17193590862055,0.2061844419392765,0.19807376025617,0.1932680781329829,0.1792663469552096,0.0977298807963114,0.1834180122853084,0.1887257292589789,0.2621143841036911,0.1571555264863853,0.2699242001720431,0.1875548381468718,0.1888627459861879,0.1903271839243852,0.2191167215609923
4,4,  Masyarakat Adat versus Korporasi: Konflik Sosial Rencana Pembangunan Pabrik Semen di Kabupaten Pati Jawa Tengah Periode 2013-2016   ,Suharko Suharko,https://jurnal.ugm.ac.id/jsp/article/view/24776/16027,"Social confilct between indigenous community of Sedulur Sikep and PT SMS has arisen as a consequence of utilization of karst for cement plant in District of Pati, Central Java since 2010. Using secondary data collected from off line and on line media, and applying Wehr's model of conflict mapping, the article aims to map the conflict. For the corporation, karst can be mined and has a high economic value. For Sedulur Sikep, karst must be concerved because it covers water reservoir that is vital for its agricultural livelihood. From 2010 to 2014, while Sedulur Sikep continuesly rejected the establishment of the plant, PT SMS had completed environmental impact analysis. After Head of Pati district launched an environmental licence for PT SMS in the end of 2014, the two parties of conflict had been head to head in two levels of the administrative courts (PTUN Semarang and PTTUN Surabaya). The verdicts of court are not able to end the conflict yet. Opportunity to solve the conflict will depend on the results of strategic environmental analysis (KLHS) that was decided by the President as a reference for parties who plan to mine karst in mountain of Kendeng Utara, Central Java",0.1992058506358232,0.2172698954858308,0.2161517974875167,0.1947444625495137,0.2432228536294964,0.2141129719372175,0.1794791905868952,0.2067885336388246,0.1952839582154024,0.2006740637596565,0.1716466725377377,0.178915845395401,0.1546353716773434,0.1992004250837492,0.2094943365007121,0.1929673211732113,0.2595683956736959,0.2325438929710205,0.1520437322420011,0.2345593941461237,0.1885696348064244,0.1913628741850557,0.1820484354752752,0.1910690396702139,0.1894244931964999,0.1180886725738363,0.1700208009868676,0.1929235191585465,0.2354545014394537,0.2134657758034434,0.2149120548091788,0.2222912464279489,0.2194561710567542,0.1941974909294629,0.1905871055046175
5,5,  Krisis Kapitalisme 2008 dan Bangkitnya Gerakan Kiri Studi Dinamika Gerakan Partai Syriza di Yunani   ,"Arif Novianto, Lukman Kurniawan, Samodra Wibawa",https://jurnal.ugm.ac.id/jsp/article/view/15678/10445,"The economic crisis which hit Greece was in 2008 helped to flow into a political crisis. The old political oligarchy that since 1974 up to 2010 alternately dominate the Greece that is PASOK party and the New Democracy party suffered shocks that lead to new political dynamics. Austerity policies and neoliberal reforms under the moderation of the troika (Europaen Central Bank, European Union, and International Monetary Fund) have created a decrease in the level of welfare and the economic crisis are instead growing. That situation creates a distrust of the Greek people, until they are searching for an alternative system other than capitalism. At that time the idea of socialism promoted by Syriza party has been able to to gain influence in the mass base, to deliver Syriza-led government with 36.3 percent of voters in Election 2015. This paper attempts to elaborate on the strategies used by the Syriza party and also weaknesses in the startegy",0.2308178832713253,0.2560850388037823,0.3127100801762006,0.2557096061905616,0.2059776990361796,0.2833988023248869,0.2260058370728331,0.2598865085242069,0.3344219003926931,0.2618046580222014,0.2892036454740491,0.2611258111544881,0.2466702084894076,0.2198642012829315,0.2410201552512628,0.2818346308921692,0.2404849155325774,0.3562329737702165,0.1928428297304148,0.2723112375437267,0.2351382648139594,0.2781987544918674,0.2526514657291934,0.2841359389976192,0.2282953178375699,0.2023194277222857,0.3018800459499845,0.2535885143291954,0.2200867254983579,0.1223876462827413,0.2850810114241732,0.2780449866936787,0.3792627882725593,0.2499719568289156,0.1937335799844329
6,6,  Tanggung jawab Sosial Korporasi dan Hak-Hak Masyarakat Hukum Adat   ,- Afrizal,https://jurnal.ugm.ac.id/jsp/article/view/10882/8123,"This article scrutinizes the implementation of Corporate Social Responsibility (CSR) concept on the recognition of indigenous society’s rights over agrarian resources. It is argued that the concept is relevant to study forms of social relation between corporations and indigenous societies. Publication about that is little. Indigenous societies across Indonesia insist that they have rights over agrarian sources within their customary territory and the rights are recognized by the Indonesian state as well as international bodies. Academicians only pay attention to the government’s responsibility to recognize and respect the indigenous society’s rights. It is contended that from the concept of CSR a corporation is responsible for recognizing and respecting indigenous societies’ rights over agrarian sources, but this article demonstrates that realization of indigenous community’s rights by corporations is dependent upon pressure from indigenous communities rather than coporations’ initiative.",0.2105343808587509,0.1790468933773913,0.1989692160063619,0.2218605816819459,0.1669314289828509,0.2199634707686285,0.2020847467430032,0.1917755661827594,0.1553317266546497,0.2254873997926906,0.1798695311225643,0.2090040437912638,0.1984556416391551,0.2184908226045404,0.2012404964362412,0.2236517942789984,0.136225667188245,0.2763583955235401,0.1413157557326948,0.2325900658386064,0.2041709630138153,0.2124788873551556,0.1955919907482305,0.209627730588161,0.2042750907406495,0.4283738803578162,0.2011215734419537,0.2042159437031612,0.2208883171934406,0.0641020992929427,0.1959594207736716,0.1511790267297665,0.1290908340495788,0.2054657432831853,0.1758416025040288
7,7,  The Unemployment Rate Amid the COVID-19 Pandemic: Propose the Best Practices Policy to Maintain Labor Market Stability   ,"Nazaruddin Malik, Muhammad Sri Wahyudi Suliswanto, Mochamad Rofik",https://jurnal.ugm.ac.id/jsp/article/view/56450/pdf,"This study analyzes the impact of the shocks caused by the COVID-19 pandemic on the labor market. The research is vital for expanding the literature about maintaining the unemployment rate amid crisis, ultimately reducing unnecessary social costs. The quantitative approach in this study uses a Granger causality test to understand the effect of the shock caused by the COVID-19 pandemic on unemployment. Meanwhile, the qualitative approach in this study uses literature related to economic growth, crisis management, and unemployment. Granger causality tests show that economic slowdown hurts the unemployment rate. Based on discussion and synthesis from works of literature, this paper recommends some of the policies to maintain growth and prevent a more severe collapse in the labor market; the government needs to sustain aggregate demand and supply. Also, ensure the supply chain runs well amid various restrictions. Besides, this paper also proposes that the government maximizes alternative budget resources. Meanwhile, strengthening the labor system and developing health and food security industries must be a priority policy amid-post the pandemic.",0.1975090461740316,0.1935724869412768,0.1956608360575781,0.1824693626268979,0.199653033816923,0.207583205672418,0.1858682306460279,0.1840212878275048,0.2067160036783991,0.1877464625520326,0.1933528530823261,0.1768647075281001,0.1462820270270469,0.2365190723423769,0.2297251660948181,0.1942153224394617,0.2084033933007407,0.314559750376662,0.1422015662171206,0.2252227600279569,0.2292653337892753,0.2040501415203867,0.1800412272390018,0.1706272827499615,0.2043897588451849,0.086503337527081,0.1808026005181724,0.1742622125466528,0.1836124767715252,0.2398607150546449,0.2293086558892895,0.2159614294549897,0.1749712218505331,0.190570282229828,0.1723387518089681
8,8,  Aging Labor and Japanese Industry Performance: Lessons for Indonesia Policies   ,Indri Dwi Apriliyanti,https://jurnal.ugm.ac.id/jsp/article/view/31754/pdf,"This study analyzes the labor input factor that determines and shapes output generation in Japan. It hypothesizes that labor input contributes to the development of output growth in Japanese industries. In addition to that, it is hypothesized that moderator variable which is represented by numbers of aging labor can either stimulate or weaken the output generation. Hypotheses are tested using the data obtained from the Research Institute of Economy, Trade, and Industry (RIETI) Japan Industrial Output (JIP) Database 2011 and Japan Statistics Oﬃcial within period 1970 to 2008. A multiple regression analysis, a manova and a hierarchical multiple regression analysis are conducted. Similar to expectation, aging labor has a negative moderating eﬀect on labor-intensive industry; meanwhile aging labor has a positive moderating eﬀect on capital-intensive industry. Not only does this study provide thorough knowledge towards output generation in Japan, but it also provides substantial lessons for Indonesia, particularly to enhance the industrial policy regarding the aging labor.",0.1741956348077906,0.1712881604186028,0.1853197281824074,0.166389431549891,0.2614367729660734,0.1871919182022441,0.1940342907936602,0.1485035964112359,0.1675926056458911,0.1764763929037083,0.1834509626929313,0.1618600433258996,0.149675508684128,0.1548050422707773,0.1848816314490145,0.1974690038084982,0.1644347871043246,0.231361125983748,0.1144128338346091,0.179093489749944,0.1949947761164242,0.1770847755480075,0.1642432413522462,0.1486885638139243,0.2019673758690712,0.0961030583774528,0.1719781774486844,0.1544596466373607,0.1973652466940538,0.0885155473166681,0.1511475623486169,0.2270623667058693,0.2482331415214421,0.1684787689206019,0.1411540374119854
9,9,  Perjuangan Gerakan Buruh Tidak Sekedar Upah Melacak Perkembangan Isu Gerakan Buruh di Indonesia Pasca Reformasi   ,Muhammad Zuhdan,https://jurnal.ugm.ac.id/jsp/article/view/13086/9315,"The purpose of this paper is to track issues championed by the labor movement aft er the reform. The ﬁ rst thesis of this paper behold issue championed labor movement is not merely a matt er of wage increases. This paper focus on championed issue by the labor movement in the post-reformation Indonesia. The reasons for selecting this theme is to expand the public’s view on the issue of labor which has always been synonymous with wage when the labor movement has long roots and a tradition of thought that labor issues are always  dialectical and dynamic with the changing socio-political structure. The results of this study indicate that the issue of the labor movement in the post-reformation Indonesia no longer dwell on the issue of wage increase alone but develops progressively in the direction of political issues that is identical to the New Left movement, ranging from labor issues Go Politics, anti-neoliberalism, gender, human rights, democracy,citizenship, public policy, etc.",0.2160310755424381,0.2134803323429105,0.2272693668726425,0.2363612262466756,0.2843742407019264,0.2294585975786005,0.2282204323800315,0.1896795239850673,0.200090380580371,0.2397442788023453,0.2355418957724784,0.2343873465431322,0.2058629892678803,0.2041432153227878,0.2027888125336578,0.234985411124824,0.1900512878408916,0.2649672979259917,0.1494867325552462,0.2329600322494618,0.2212744021322286,0.2392228276003387,0.2268249738565786,0.2265378196853093,0.2047703734869153,0.5900800951122498,0.2366411877462154,0.2002225993341776,0.213778730400551,0.1239374509787945,0.1515582639138809,0.1937981075965613,0.2619597191768184,0.2012365323706036,0.1787158752622519
