,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Emotion
0,0,10.0,0.474700003862381,"politik, punya, partai, apa, tahun, amerika, ilmu, rakyat, pesimis, jadi",tinggal partai politik dengar gelombang besar rakyat hapus aju uji,negative
1,1,17.0,0.5570999979972839,"cari, kalau, tukar, ajak, sembang, in, ideologi, pasang, level, all",bego bnyak pilih tuk aju jd presiden pilih kmi sdah trbukti krj pilih krja cma bsa main politik identitas sja bnyak bicara calo gtu kalian bangga gublug,positive
2,2,20.0,0.9305999875068665,"ni, besi, politik, milu, bila, indonesia, tunda, awal, macam, kuat",awal husnuzon angin kuat bila tengok ni besi tebal bengkok macam ni besi,negative
3,3,2.0,0.9305999875068665,"politik, cari, kalau, tukar, ideologi, pasang, level, in, sembang, ajak",contoh gila luber histeria massal lukis artis perancis henri matisse rencana ada maret,positive
4,4,3.0,0.4480000138282776,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",dprd medan minta pemko fokus,negative
5,5,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
6,6,19.0,0.9190000295639038,"politik, tunda, milu, tak, rakyat, elite, alas, hak, rampas, kalau",mungkin rakyat punya batas sabar lihat tingkah pola elit politik kalau,negative
7,7,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
8,8,3.0,0.9351999759674072,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",innalillahi gus yahya baru jg jadi ketua pbnu blm apa2 omong udh sbg lembaga,negative
9,9,26.0,0.9429000020027161,"politik, baru, rakyat, johor, nak, dah, lebih, jadi, aku, indonesia",rakyat johor dah mula cakap nak jadi mb nafas baru politik harap baru rakyat johor je,negative
10,10,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
11,11,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
12,12,10.0,0.4740999937057495,"politik, punya, partai, apa, tahun, amerika, ilmu, rakyat, pesimis, jadi",tinggal partai politik dengar gelombang besar rakyat hapus aju uji,negative
13,13,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
14,14,5.0,0.902899980545044,"politik, bukan, partai, milu, orang, tuju, ga, tunda, sama, tebar",semua henti bola bukan politik balas bola menit juang,negative
15,15,12.0,0.878600001335144,"politik, bela, jilat, catat, khianat, dusta, keliling, sanjung, kata, mau",catat bela dusta keliling jilat sanjung khianat,negative
16,16,6.0,0.4049000144004822,"cari, kalau, politik, pasang, sembang, ideologi, in, tukar, topik, ajak",isu politik selalu kembang kriminalisasi hutang anti,positive
17,17,23.0,0.3833000063896179,"politik, ni, kuasa, tak, dah, nak, orang, kan, la, sekarang",kata gak sepakbola sama politik eh sekarang jilat ludah sendiri,negative
18,18,26.0,0.9190000295639038,"politik, baru, rakyat, johor, nak, dah, lebih, jadi, aku, indonesia",ahli politik nak politik berkempen dekat tik tok especially jangan lebih,negative
19,19,20.0,0.8920999765396118,"ni, besi, politik, milu, bila, indonesia, tunda, awal, macam, kuat",kasus beda manusia bla bla bla bla campuradukkan,negative
20,20,22.0,0.878600001335144,"politik, sepakbola, pkb, sama, tak, kab, bawa, ga, rusia, pernah",jauh sepakbola politik laku buat israel wkwk,negative
21,21,3.0,0.4336000084877014,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",dih najis unfair banget uefa fifa dah jadi lembaga politik,negative
22,22,31.0,0.9351999759674072,"partai, tunda, pbnu, lebih, jadi, pilih, milu, hasil, besar, harap",harap besar kyai yahya pilih ketua pbnu lebih des beliau nyata pbnu gak jadi,negative
